Song_Name,Artist_The Weeknd,Artist_Eagles,Artist_Queen,Artist_Britney Spears,Artist_Nirvana,Artist_Beyoncé,Artist_Daft Punk,Artist_Led Zeppelin,Artist_ABBA,Artist_Metallica,Artist_Taylor Swift,Artist_Drake,Artist_Adele,Artist_Ed Sheeran,Artist_Billie Eilish,Artist_Ariana Grande,Artist_The Beatles,Artist_Michael Jackson,Artist_Elvis Presley,Artist_Madonna,Artist_Eminem,Artist_Coldplay,Artist_Rihanna,Artist_Bruno Mars,Artist_Kanye West,Artist_Pink Floyd,Artist_AC/DC,Artist_Guns N Roses,Artist_Radiohead,Artist_Lady Gaga,Genre_Alternative,Genre_Classic Rock,Genre_Country,Genre_Dance,Genre_Disco,Genre_Electronic,Genre_Folk,Genre_Funk,Genre_Grunge,Genre_Hard Rock,Genre_Hip Hop,Genre_House,Genre_Metal,Genre_Pop,Genre_Progressive Rock,Genre_R&B,Genre_Rap,Genre_Rock,Genre_Soul
Call Out My Name - The Weeknd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Blinding Lights - The Weeknd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Starboy - The Weeknd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Save Your Tears - The Weeknd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Hotel California - Eagles,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Take It Easy - Eagles,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Desperado - Eagles,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bohemian Rhapsody - Queen,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
We Will Rock You - Queen,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Somebody to Love - Queen,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Don't Stop Me Now - Queen,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Toxic - Britney Spears,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oops I Did It Again - Britney Spears,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Baby One More Time - Britney Spears,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Smells Like Teen Spirit - Nirvana,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
